"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","2-7-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女，年齢（5歳階級），国籍総数か日本人別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","","","","","/年齢 コード","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","R1","R2","R3","R4","R5","R6"
"表章事項 コード","表章事項","時間軸（年次） コード","時間軸（年次）","男女 コード","男女","国籍総数か日本人 コード","国籍総数か日本人","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む）","/年齢","総数","0～4歳","5～9歳","10～14歳","15～19歳","20～24歳","25～29歳","30～34歳","35～39歳","40～44歳","45～49歳","50～54歳","55～59歳","60～64歳","65～69歳","70～74歳","75～79歳","80～84歳","85～89歳","90～94歳","95～99歳","100歳以上","年齢「不詳」","（再掲）15歳未満","（再掲）15～64歳","（再掲）65歳以上","（再掲）75歳以上","（再掲）85歳以上","（再掲）20～69歳"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","00000","全国","","126,146,099","4,516,082","5,089,093","5,350,517","5,617,440","5,931,306","6,031,964","6,484,594","7,311,567","8,291,077","9,650,293","8,539,851","7,767,482","7,297,190","8,075,268","9,011,795","6,930,928","5,296,728","3,669,823","1,779,016","492,724","79,523","2,931,838","14,955,692","72,922,764","35,335,805","18,248,742","6,021,086","75,380,592"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01000","北海道","","5,224,614","162,373","189,483","203,948","221,229","220,409","224,130","247,463","287,154","336,549","388,162","345,552","339,699","335,380","395,875","419,875","307,446","247,918","177,368","87,232","24,417","3,892","59,060","555,804","2,945,727","1,664,023","848,273","292,909","3,120,373"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01100","札幌市","","1,973,395","65,592","73,336","76,438","84,739","96,755","98,732","107,358","120,432","136,795","155,525","136,772","128,138","120,478","134,773","141,549","98,997","75,180","54,908","27,346","7,344","1,145","31,063","215,366","1,185,724","541,242","264,920","90,743","1,235,758"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01101","札幌市中央区","","248,680","7,694","8,073","8,101","9,670","13,043","15,254","15,377","16,372","17,810","20,437","18,576","16,879","14,301","14,163","14,640","9,990","7,883","6,473","3,382","880","133","9,549","23,868","157,719","57,544","28,741","10,868","162,212"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01102","札幌市北区","","289,323","9,793","11,649","12,082","14,082","17,984","13,782","14,975","17,155","19,772","22,598","19,349","17,751","16,698","19,633","20,359","14,226","10,786","7,410","3,718","976","167","4,378","33,524","174,146","77,275","37,283","12,271","179,697"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01103","札幌市東区","","265,379","9,618","9,953","10,341","11,369","13,096","14,169","15,233","16,879","19,031","21,534","18,275","16,200","15,027","17,183","18,204","12,669","9,381","6,671","3,188","847","139","6,372","29,912","160,813","68,282","32,895","10,845","166,627"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01104","札幌市白石区","","211,835","7,596","7,477","7,427","8,167","10,586","13,193","13,552","14,243","15,827","17,887","15,672","14,082","12,426","13,147","13,597","9,817","7,634","5,581","2,603","697","84","540","22,500","135,635","53,160","26,416","8,965","140,615"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01105","札幌市豊平区","","225,298","7,622","7,926","7,884","9,188","12,392","14,186","14,659","14,928","16,142","18,003","15,869","14,473","12,742","13,615","14,414","10,466","8,219","6,267","3,082","867","126","2,228","23,432","142,582","57,056","29,027","10,342","147,009"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01106","札幌市南区","","135,777","3,695","4,600","4,996","5,890","5,683","4,679","5,362","6,552","7,868","8,996","8,618","9,297","9,524","11,368","12,408","8,866","6,980","5,125","2,481","652","112","2,025","13,291","72,469","47,992","24,216","8,370","77,947"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01107","札幌市西区","","217,040","7,793","8,394","8,439","8,535","8,725","10,616","12,034","13,818","15,405","17,329","15,242","14,073","13,266","14,831","15,649","11,159","8,499","6,099","2,891","719","113","3,411","24,626","129,043","59,960","29,480","9,822","135,339"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01108","札幌市厚別区","","125,083","3,477","4,274","4,973","5,480","5,188","4,714","5,553","6,449","7,801","9,484","8,958","8,844","8,956","10,157","10,861","7,739","5,759","3,909","1,922","495","80","10","12,724","71,427","40,922","19,904","6,406","76,104"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01109","札幌市手稲区","","142,625","4,763","6,012","6,442","6,554","5,850","4,879","6,297","8,191","9,655","10,548","8,628","8,760","9,523","11,488","12,188","8,089","5,753","4,221","2,401","725","121","1,537","17,217","78,885","44,986","21,310","7,468","83,819"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01110","札幌市清田区","","112,355","3,541","4,978","5,753","5,804","4,208","3,260","4,316","5,845","7,484","8,709","7,585","7,779","8,015","9,188","9,229","5,976","4,286","3,152","1,678","486","70","1,013","14,272","63,005","34,065","15,648","5,386","66,389"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01202","函館市","","251,084","6,692","7,980","8,888","9,957","9,335","9,481","10,266","12,556","15,184","18,345","16,636","16,290","16,903","20,551","22,743","16,752","13,460","9,663","4,645","1,260","183","3,314","23,560","134,953","89,257","45,963","15,751","145,547"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","0120B","（旧：函館市）","","241,024","6,518","7,765","8,604","9,708","9,123","9,276","9,963","12,158","14,731","17,810","16,036","15,580","16,077","19,401","21,581","15,891","12,646","9,080","4,384","1,205","177","3,310","22,887","130,462","84,365","43,383","14,846","140,155"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01339","（旧：戸井町）","","2,291","33","38","42","54","49","40","64","85","93","110","159","153","198","261","276","188","205","152","72","16","2","1","113","1,005","1,172","635","242","1,212"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01340","（旧：恵山町）","","2,486","20","38","53","56","36","30","70","92","112","132","134","154","191","315","348","250","205","164","68","14","4","-","111","1,007","1,368","705","250","1,266"
