id_muni2020,year,name_muni2020,pop_total,pop_age20_39,pop_ageunknown
1100,1980,北海道 札幌市,710700,267702,621
1202,1980,北海道 函館市,181290,56685,NA
1203,1980,北海道 小樽市,95747,27855,NA
1204,1980,北海道 旭川市,181184,62109,7
1205,1980,北海道 室蘭市,75852,23967,NA
1206,1980,北海道 釧路市,115451,39503,NA
1207,1980,北海道 帯広市,78233,27597,NA
1208,1980,北海道 北見市,64913,21506,NA
1209,1980,北海道 夕張市,21000,4719,NA
1210,1980,北海道 岩見沢市,47559,14615,NA
1211,1980,北海道 網走市,22701,7324,NA
1212,1980,北海道 留萌市,18883,5989,NA
1213,1980,北海道 苫小牧市,75967,27566,2
1214,1980,北海道 稚内市,27074,8672,NA
1215,1980,北海道 美唄市,19669,5334,1
1216,1980,北海道 芦別市,16941,4218,NA
1217,1980,北海道 江別市,43048,14289,9
1218,1980,北海道 赤平市,13016,3267,NA
1219,1980,北海道 紋別市,17239,5323,NA
1220,1980,北海道 士別市,16585,4595,NA
1221,1980,北海道 名寄市,21240,6352,NA
1222,1980,北海道 三笠市,12039,2807,NA
1223,1980,北海道 根室市,21836,6732,NA
1224,1980,北海道 千歳市,31244,11346,13
1225,1980,北海道 滝川市,26117,8396,3
1226,1980,北海道 砂川市,12973,3788,NA
1227,1980,北海道 歌志内市,5315,1134,NA
1228,1980,北海道 深川市,18459,5097,NA
1229,1980,北海道 富良野市,14719,4257,NA
1230,1980,北海道 登別市,28574,8737,8
1231,1980,北海道 恵庭市,20839,6955,NA
1233,1980,北海道 伊達市,18902,5527,NA
1234,1980,北海道 北広島市,17204,5959,15
1235,1980,北海道 石狩市,20748,6837,NA
1236,1980,北海道 北斗市,20126,6019,NA
1303,1980,北海道 石狩振興局 当別町,8591,2650,NA
1304,1980,北海道 石狩振興局 新篠津村,2096,572,NA
1331,1980,北海道 渡島総合振興局 松前町,8766,2275,NA
1332,1980,北海道 渡島総合振興局 福島町,5747,1541,NA
1333,1980,北海道 渡島総合振興局 知内町,3679,977,NA
1334,1980,北海道 渡島総合振興局 木古内町,4984,1321,NA
1337,1980,北海道 渡島総合振興局 七飯町,11306,3170,NA
1343,1980,北海道 渡島総合振興局 鹿部町,2479,695,NA
1345,1980,北海道 渡島総合振興局 森町,12318,3343,NA
1346,1980,北海道 渡島総合振興局 八雲町,13418,3738,NA
1347,1980,北海道 渡島総合振興局 長万部町,5716,1437,NA
1361,1980,北海道 檜山振興局 江差町,7313,2037,NA
1362,1980,北海道 檜山振興局 上ノ国町,4564,1135,NA
1363,1980,北海道 檜山振興局 厚沢部町,3524,827,NA
1364,1980,北海道 檜山振興局 乙部町,3670,927,NA
1367,1980,北海道 檜山振興局 奥尻町,2733,754,NA
1370,1980,北海道 檜山振興局 今金町,4689,1216,NA
1371,1980,北海道 檜山振興局 せたな町,8327,2021,NA
1391,1980,北海道 後志総合振興局 島牧村,1606,348,NA
1392,1980,北海道 後志総合振興局 寿都町,3065,715,NA
1393,1980,北海道 後志総合振興局 黒松内町,2372,563,NA
