id_muni2020,year,name_muni2020,cl_code_gender,pop_total,pop_age20_39,pop_ageunknown
1100,2020,北海道 札幌市,2,1054713,219506,14417
1202,2020,北海道 函館市,2,137119,20863,1646
1203,2020,北海道 小樽市,2,61163,7893,402
1204,2020,北海道 旭川市,2,177198,28604,2176
1205,2020,北海道 室蘭市,2,41993,6314,236
1206,2020,北海道 釧路市,2,87571,14130,833
1207,2020,北海道 帯広市,2,86913,16748,511
1208,2020,北海道 北見市,2,60751,9602,792
1209,2020,北海道 夕張市,2,3953,337,NA
1210,2020,北海道 岩見沢市,2,42201,6169,98
1211,2020,北海道 網走市,2,17699,3050,96
1212,2020,北海道 留萌市,2,10465,1414,469
1213,2020,北海道 苫小牧市,2,86591,15446,850
1214,2020,北海道 稚内市,2,16912,2683,44
1215,2020,北海道 美唄市,2,10848,1214,29
1216,2020,北海道 芦別市,2,6793,688,1
1217,2020,北海道 江別市,2,63533,11232,469
1218,2020,北海道 赤平市,2,5310,521,74
1219,2020,北海道 紋別市,2,11314,1880,9
1220,2020,北海道 士別市,2,9442,1065,26
1221,2020,北海道 名寄市,2,13960,2573,99
1222,2020,北海道 三笠市,2,4409,487,NA
1223,2020,北海道 根室市,2,12874,2023,59
1224,2020,北海道 千歳市,2,48160,11106,67
1225,2020,北海道 滝川市,2,20658,3214,169
1226,2020,北海道 砂川市,2,8879,1203,256
1227,2020,北海道 歌志内市,2,1590,135,1
1228,2020,北海道 深川市,2,10677,1263,13
1229,2020,北海道 富良野市,2,11184,1808,50
1230,2020,北海道 登別市,2,24245,3506,81
1231,2020,北海道 恵庭市,2,36243,7003,179
1233,2020,北海道 伊達市,2,17650,2425,12
1234,2020,北海道 北広島市,2,30408,4557,103
1235,2020,北海道 石狩市,2,29545,4568,1
1236,2020,北海道 北斗市,2,23760,3920,83
1303,2020,北海道 石狩振興局 当別町,2,8213,1299,79
1304,2020,北海道 石狩振興局 新篠津村,2,1560,215,6
1331,2020,北海道 渡島総合振興局 松前町,2,3455,317,3
1332,2020,北海道 渡島総合振興局 福島町,2,2039,206,1
1333,2020,北海道 渡島総合振興局 知内町,2,2107,290,NA
1334,2020,北海道 渡島総合振興局 木古内町,2,2082,204,1
1337,2020,北海道 渡島総合振興局 七飯町,2,15007,2260,3
1343,2020,北海道 渡島総合振興局 鹿部町,2,1981,306,NA
1345,2020,北海道 渡島総合振興局 森町,2,7680,1108,11
1346,2020,北海道 渡島総合振興局 八雲町,2,7932,1175,45
1347,2020,北海道 渡島総合振興局 長万部町,2,2661,378,42
1361,2020,北海道 檜山振興局 江差町,2,3859,526,11
1362,2020,北海道 檜山振興局 上ノ国町,2,2341,253,NA
1363,2020,北海道 檜山振興局 厚沢部町,2,1875,228,NA
1364,2020,北海道 檜山振興局 乙部町,2,1865,211,NA
1367,2020,北海道 檜山振興局 奥尻町,2,1130,121,NA
1370,2020,北海道 檜山振興局 今金町,2,2626,303,NA
1371,2020,北海道 檜山振興局 せたな町,2,3932,425,3
1391,2020,北海道 後志総合振興局 島牧村,2,669,73,NA
1392,2020,北海道 後志総合振興局 寿都町,2,1441,226,1
1393,2020,北海道 後志総合振興局 黒松内町,2,1438,203,NA
1394,2020,北海道 後志総合振興局 蘭越町,2,2371,303,NA
1395,2020,北海道 後志総合振興局 ニセコ町,2,2450,412,145
1396,2020,北海道 後志総合振興局 真狩村,2,1010,135,NA
1397,2020,北海道 後志総合振興局 留寿都村,2,940,232,NA
1398,2020,北海道 後志総合振興局 喜茂別町,2,1044,166,36
1399,2020,北海道 後志総合振興局 京極町,2,1521,209,38
1400,2020,北海道 後志総合振興局 倶知安町,2,7342,1510,179
1401,2020,北海道 後志総合振興局 共和町,2,2725,395,NA
1402,2020,北海道 後志総合振興局 岩内町,2,6148,848,1
1403,2020,北海道 後志総合振興局 泊村,2,785,92,NA
1404,2020,北海道 後志総合振興局 神恵内村,2,470,32,NA
1405,2020,北海道 後志総合振興局 積丹町,2,976,85,NA
1406,2020,北海道 後志総合振興局 古平町,2,1438,172,42
1407,2020,北海道 後志総合振興局 仁木町,2,1654,220,NA
1408,2020,北海道 後志総合振興局 余市町,2,9658,1265,21
1409,2020,北海道 後志総合振興局 赤井川村,2,559,103,NA
1423,2020,北海道 空知総合振興局 南幌町,2,3858,544,8
1424,2020,北海道 空知総合振興局 奈井江町,2,2715,313,NA
1425,2020,北海道 空知総合振興局 上砂川町,2,1549,151,NA
1427,2020,北海道 空知総合振興局 由仁町,2,2520,270,23
1428,2020,北海道 空知総合振興局 長沼町,2,5370,750,10
1429,2020,北海道 空知総合振興局 栗山町,2,6096,762,3
1430,2020,北海道 空知総合振興局 月形町,2,1506,196,14
1431,2020,北海道 空知総合振興局 浦臼町,2,887,84,NA
1432,2020,北海道 空知総合振興局 新十津川町,2,3508,428,NA
1433,2020,北海道 空知総合振興局 妹背牛町,2,1403,131,NA
1434,2020,北海道 空知総合振興局 秩父別町,2,1257,173,9
1436,2020,北海道 空知総合振興局 雨竜町,2,1224,128,NA
1437,2020,北海道 空知総合振興局 北竜町,2,901,104,NA
1438,2020,北海道 空知総合振興局 沼田町,2,1517,171,NA
1452,2020,北海道 上川総合振興局 鷹栖町,2,3462,424,NA
1453,2020,北海道 上川総合振興局 東神楽町,2,5425,849,4
1454,2020,北海道 上川総合振興局 当麻町,2,3407,417,NA
1455,2020,北海道 上川総合振興局 比布町,2,1858,222,NA
1456,2020,北海道 上川総合振興局 愛別町,2,1390,173,NA
1457,2020,北海道 上川総合振興局 上川町,2,1792,239,NA
1458,2020,北海道 上川総合振興局 東川町,2,4437,765,1
1459,2020,北海道 上川総合振興局 美瑛町,2,5173,721,NA
1460,2020,北海道 上川総合振興局 上富良野町,2,4985,792,33
1461,2020,北海道 上川総合振興局 中富良野町,2,2473,338,NA
1462,2020,北海道 上川総合振興局 南富良野町,2,1148,197,NA
1463,2020,北海道 上川総合振興局 占冠村,2,653,188,21
1464,2020,北海道 上川総合振興局 和寒町,2,1695,185,NA
1465,2020,北海道 上川総合振興局 剣淵町,2,1501,180,NA
1468,2020,北海道 上川総合振興局 下川町,2,1635,199,20
1469,2020,北海道 上川総合振興局 美深町,2,2107,246,NA
1470,2020,北海道 上川総合振興局 音威子府村,2,341,45,14
1471,2020,北海道 上川総合振興局 中川町,2,723,83,13
1472,2020,北海道 上川総合振興局 幌加内町,2,689,85,NA
1481,2020,北海道 留萌振興局 増毛町,2,2132,277,NA
1482,2020,北海道 留萌振興局 小平町,2,1563,230,NA
1483,2020,北海道 留萌振興局 苫前町,2,1508,197,1
1484,2020,北海道 留萌振興局 羽幌町,2,3385,381,NA
1485,2020,北海道 留萌振興局 初山別村,2,562,77,NA
1486,2020,北海道 留萌振興局 遠別町,2,1298,172,NA
1487,2020,北海道 留萌振興局 天塩町,2,1472,203,2
1511,2020,北海道 宗谷総合振興局 猿払村,2,1326,329,2
1512,2020,北海道 宗谷総合振興局 浜頓別町,2,1773,261,NA
1513,2020,北海道 宗谷総合振興局 中頓別町,2,819,95,NA
1514,2020,北海道 宗谷総合振興局 枝幸町,2,3965,587,1
1516,2020,北海道 宗谷総合振興局 豊富町,2,1876,293,20
