id_muni2020,year,name_muni2020,cl_code_gender,pop_total,pop_age20_39,pop_ageunknown
1100,2020,北海道 札幌市,1,918682,203771,16646
1202,2020,北海道 函館市,1,113965,20775,1668
1203,2020,北海道 小樽市,1,50136,7715,659
1204,2020,北海道 旭川市,1,152108,27654,1968
1205,2020,北海道 室蘭市,1,40390,8744,650
1206,2020,北海道 釧路市,1,77506,14282,660
1207,2020,北海道 帯広市,1,79623,16997,1148
1208,2020,北海道 北見市,1,54729,10338,616
1209,2020,北海道 夕張市,1,3381,416,2
1210,2020,北海道 岩見沢市,1,37105,6482,78
1211,2020,北海道 網走市,1,18060,3836,268
1212,2020,北海道 留萌市,1,9649,1658,528
1213,2020,北海道 苫小牧市,1,83522,16963,1968
1214,2020,北海道 稚内市,1,16651,3219,90
1215,2020,北海道 美唄市,1,9565,1428,34
1216,2020,北海道 芦別市,1,5762,779,9
1217,2020,北海道 江別市,1,57523,11482,849
1218,2020,北海道 赤平市,1,4388,597,72
1219,2020,北海道 紋別市,1,9901,1814,23
1220,2020,北海道 士別市,1,8416,1292,27
1221,2020,北海道 名寄市,1,13322,3011,186
1222,2020,北海道 三笠市,1,3631,544,NA
1223,2020,北海道 根室市,1,11762,2275,163
1224,2020,北海道 千歳市,1,49790,13216,115
1225,2020,北海道 滝川市,1,18832,3423,344
1226,2020,北海道 砂川市,1,7607,1234,300
1227,2020,北海道 歌志内市,1,1399,162,2
1228,2020,北海道 深川市,1,9362,1436,46
1229,2020,北海道 富良野市,1,9947,1713,103
1230,2020,北海道 登別市,1,22146,3888,78
1231,2020,北海道 恵庭市,1,34088,7257,365
1233,2020,北海道 伊達市,1,15176,2389,26
1234,2020,北海道 北広島市,1,27763,4547,153
1235,2020,北海道 石狩市,1,27324,4581,NA
1236,2020,北海道 北斗市,1,20542,3605,9
1303,2020,北海道 石狩振興局 当別町,1,7703,1383,123
1304,2020,北海道 石狩振興局 新篠津村,1,1484,231,5
1331,2020,北海道 渡島総合振興局 松前町,1,2805,324,3
1332,2020,北海道 渡島総合振興局 福島町,1,1755,223,3
1333,2020,北海道 渡島総合振興局 知内町,1,2060,393,1
1334,2020,北海道 渡島総合振興局 木古内町,1,1750,227,13
1337,2020,北海道 渡島総合振興局 七飯町,1,12679,2061,6
1343,2020,北海道 渡島総合振興局 鹿部町,1,1779,278,NA
1345,2020,北海道 渡島総合振興局 森町,1,6658,1054,28
1346,2020,北海道 渡島総合振興局 八雲町,1,7894,1469,152
1347,2020,北海道 渡島総合振興局 長万部町,1,2448,417,57
1361,2020,北海道 檜山振興局 江差町,1,3569,654,32
1362,2020,北海道 檜山振興局 上ノ国町,1,1965,234,3
1363,2020,北海道 檜山振興局 厚沢部町,1,1717,210,NA
1364,2020,北海道 檜山振興局 乙部町,1,1538,193,NA
1367,2020,北海道 檜山振興局 奥尻町,1,1280,309,NA
1370,2020,北海道 檜山振興局 今金町,1,2446,367,NA
1371,2020,北海道 檜山振興局 せたな町,1,3466,476,3
1391,2020,北海道 後志総合振興局 島牧村,1,687,138,NA
1392,2020,北海道 後志総合振興局 寿都町,1,1397,251,1
1393,2020,北海道 後志総合振興局 黒松内町,1,1353,229,NA
1394,2020,北海道 後志総合振興局 蘭越町,1,2197,350,2
1395,2020,北海道 後志総合振興局 ニセコ町,1,2624,487,206
1396,2020,北海道 後志総合振興局 真狩村,1,1035,183,NA
1397,2020,北海道 後志総合振興局 留寿都村,1,971,244,NA
1398,2020,北海道 後志総合振興局 喜茂別町,1,1112,177,94
1399,2020,北海道 後志総合振興局 京極町,1,1420,210,46
1400,2020,北海道 後志総合振興局 倶知安町,1,7787,1889,182
1401,2020,北海道 後志総合振興局 共和町,1,3047,668,23
1402,2020,北海道 後志総合振興局 岩内町,1,5500,954,20
1403,2020,北海道 後志総合振興局 泊村,1,784,141,NA
1404,2020,北海道 後志総合振興局 神恵内村,1,400,52,NA
1405,2020,北海道 後志総合振興局 積丹町,1,855,98,1
1406,2020,北海道 後志総合振興局 古平町,1,1307,156,45
1407,2020,北海道 後志総合振興局 仁木町,1,1526,228,NA
1408,2020,北海道 後志総合振興局 余市町,1,8342,1321,32
1409,2020,北海道 後志総合振興局 赤井川村,1,606,137,NA
1423,2020,北海道 空知総合振興局 南幌町,1,3461,528,6
1424,2020,北海道 空知総合振興局 奈井江町,1,2405,346,2
1425,2020,北海道 空知総合振興局 上砂川町,1,1292,168,NA
1427,2020,北海道 空知総合振興局 由仁町,1,2302,327,30
1428,2020,北海道 空知総合振興局 長沼町,1,4919,858,20
1429,2020,北海道 空知総合振興局 栗山町,1,5176,812,22
1430,2020,北海道 空知総合振興局 月形町,1,2185,385,23
1431,2020,北海道 空知総合振興局 浦臼町,1,845,128,1
1432,2020,北海道 空知総合振興局 新十津川町,1,2976,448,NA
1433,2020,北海道 空知総合振興局 妹背牛町,1,1290,179,NA
1434,2020,北海道 空知総合振興局 秩父別町,1,1072,179,13
1436,2020,北海道 空知総合振興局 雨竜町,1,1165,164,NA
1437,2020,北海道 空知総合振興局 北竜町,1,823,126,NA
1438,2020,北海道 空知総合振興局 沼田町,1,1392,211,NA
1452,2020,北海道 上川総合振興局 鷹栖町,1,3105,395,NA
1453,2020,北海道 上川総合振興局 東神楽町,1,4702,762,11
1454,2020,北海道 上川総合振興局 当麻町,1,2912,426,NA
1455,2020,北海道 上川総合振興局 比布町,1,1662,256,NA
1456,2020,北海道 上川総合振興局 愛別町,1,1215,152,NA
1457,2020,北海道 上川総合振興局 上川町,1,1708,307,NA
1458,2020,北海道 上川総合振興局 東川町,1,3877,654,NA
1459,2020,北海道 上川総合振興局 美瑛町,1,4495,735,NA
1460,2020,北海道 上川総合振興局 上富良野町,1,5363,1277,65
1461,2020,北海道 上川総合振興局 中富良野町,1,2260,325,2
1462,2020,北海道 上川総合振興局 南富良野町,1,1228,257,5
1463,2020,北海道 上川総合振興局 占冠村,1,653,185,33
1464,2020,北海道 上川総合振興局 和寒町,1,1497,227,NA
1465,2020,北海道 上川総合振興局 剣淵町,1,1425,202,NA
1468,2020,北海道 上川総合振興局 下川町,1,1491,210,19
1469,2020,北海道 上川総合振興局 美深町,1,2038,316,2
1470,2020,北海道 上川総合振興局 音威子府村,1,365,79,8
1471,2020,北海道 上川総合振興局 中川町,1,805,148,12
1472,2020,北海道 上川総合振興局 幌加内町,1,681,107,NA
1481,2020,北海道 留萌振興局 増毛町,1,1776,275,NA
1482,2020,北海道 留萌振興局 小平町,1,1431,227,1
1483,2020,北海道 留萌振興局 苫前町,1,1428,235,1
1484,2020,北海道 留萌振興局 羽幌町,1,3163,486,1
1485,2020,北海道 留萌振興局 初山別村,1,518,91,NA
1486,2020,北海道 留萌振興局 遠別町,1,1222,180,NA
1487,2020,北海道 留萌振興局 天塩町,1,1478,258,6
1511,2020,北海道 宗谷総合振興局 猿払村,1,1285,320,6
1512,2020,北海道 宗谷総合振興局 浜頓別町,1,1675,317,12
1513,2020,北海道 宗谷総合振興局 中頓別町,1,818,137,NA
1514,2020,北海道 宗谷総合振興局 枝幸町,1,3600,668,NA
1516,2020,北海道 宗谷総合振興局 豊富町,1,2098,419,95
1517,2020,北海道 宗谷総合振興局 礼文町,1,1284,230,NA
1518,2020,北海道 宗谷総合振興局 利尻町,1,994,188,NA
