id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
1100,北海道 札幌市,2,710700,267702,621,1054713,219506,14417,48.404812157028275,-18.003601019043558
1202,北海道 函館市,2,181290,56685,NA,137119,20863,1646,-24.364829830658064,-63.19484872541237
1203,北海道 小樽市,2,95747,27855,NA,61163,7893,402,-36.12019175535526,-71.66397415185783
1204,北海道 旭川市,2,181184,62109,7,177198,28604,2176,-2.199973507594488,-53.94548294128065
1205,北海道 室蘭市,2,75852,23967,NA,41993,6314,236,-44.638242894056845,-73.65544290065506
1206,北海道 釧路市,2,115451,39503,NA,87571,14130,833,-24.148773072558917,-64.23056476723286
1207,北海道 帯広市,2,78233,27597,NA,86913,16748,511,11.09506218603402,-39.312244084501934
1208,北海道 北見市,2,64913,21506,NA,60751,9602,792,-6.411658681620014,-55.351994792151025
1209,北海道 夕張市,2,21000,4719,NA,3953,337,NA,-81.17619047619048,-92.85865649502013
1210,北海道 岩見沢市,2,47559,14615,NA,42201,6169,98,-11.266006434113418,-57.789941840574755
1211,北海道 網走市,2,22701,7324,NA,17699,3050,96,-22.0342716179904,-58.35608956854178
1212,北海道 留萌市,2,18883,5989,NA,10465,1414,469,-44.579780755176614,-76.3900484221072
1213,北海道 苫小牧市,2,75967,27566,2,86591,15446,850,13.985019811233833,-43.96720597837916
1214,北海道 稚内市,2,27074,8672,NA,16912,2683,44,-37.53416562015217,-69.06134686346863
1215,北海道 美唄市,2,19669,5334,1,10848,1214,29,-44.84722151609131,-77.24034495688039
1216,北海道 芦別市,2,16941,4218,NA,6793,688,1,-59.902012868189594,-83.68895211000475
1217,北海道 江別市,2,43048,14289,9,63533,11232,469,47.586415164467574,-21.394079361746797
1218,北海道 赤平市,2,13016,3267,NA,5310,521,74,-59.2040565457898,-84.05264768901132
1219,北海道 紋別市,2,17239,5323,NA,11314,1880,9,-34.36974302453739,-64.68157054292692
1220,北海道 士別市,2,16585,4595,NA,9442,1065,26,-43.06903828760929,-76.82263329706203
1221,北海道 名寄市,2,21240,6352,NA,13960,2573,99,-34.27495291902072,-59.493073047858935
1222,北海道 三笠市,2,12039,2807,NA,4409,487,NA,-63.377356923332506,-82.65051656572854
1223,北海道 根室市,2,21836,6732,NA,12874,2023,59,-41.04231544238871,-69.94949494949495
1224,北海道 千歳市,2,31244,11346,13,48160,11106,67,54.14159518627577,-2.115282919090433
1225,北海道 滝川市,2,26117,8396,3,20658,3214,169,-20.902094421258187,-61.71986660314435
1226,北海道 砂川市,2,12973,3788,NA,8879,1203,256,-31.557850921143917,-68.24181626187962
1227,北海道 歌志内市,2,5315,1134,NA,1590,135,1,-70.08466603951082,-88.09523809523809
1228,北海道 深川市,2,18459,5097,NA,10677,1263,13,-42.158296765805304,-75.22071806945262
1229,北海道 富良野市,2,14719,4257,NA,11184,1808,50,-24.01657721312589,-57.52877613342729
1230,北海道 登別市,2,28574,8737,8,24245,3506,81,-15.150136487716104,-59.871809545610624
1231,北海道 恵庭市,2,20839,6955,NA,36243,7003,179,73.91909400643024,0.6901509705248055
