id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
1100,北海道 札幌市,1,691057,258176,NA,918682,203771,16646,32.938672207936534,-21.072834035696573
1202,北海道 函館市,1,163875,50527,NA,113965,20775,1668,-30.45614035087719,-58.883369287707566
1203,北海道 小樽市,1,84981,24113,NA,50136,7715,659,-41.00328308680764,-68.00481068303405
1204,北海道 旭川市,1,171435,56223,28,152108,27654,1968,-11.273660571061917,-50.81372392081532
1205,北海道 室蘭市,1,74347,23335,4,40390,8744,650,-45.67366537990773,-62.528390829226474
1206,北海道 釧路市,1,111783,36573,NA,77506,14282,660,-30.66387554458191,-60.94933420829574
1207,北海道 帯広市,1,75628,25735,NA,79623,16997,1148,5.282435076955627,-33.95375947153681
1208,北海道 北見市,1,63316,20426,NA,54729,10338,616,-13.562132794238424,-49.388034857534514
1209,北海道 夕張市,1,20715,4366,NA,3381,416,2,-83.67849384503982,-90.47182775996335
1210,北海道 岩見沢市,1,45781,13714,NA,37105,6482,78,-18.951093248290775,-52.734431967332654
1211,北海道 網走市,1,22076,6980,NA,18060,3836,268,-18.19170139518028,-45.04297994269341
1212,北海道 留萌市,1,17743,5290,NA,9649,1658,528,-45.61799019331567,-68.65784499054821
1213,北海道 苫小牧市,1,76000,26875,8,83522,16963,1968,9.897368421052622,-36.881860465116276
1214,北海道 稚内市,1,26397,8256,NA,16651,3219,90,-36.92086221919158,-61.010174418604656
1215,北海道 美唄市,1,18883,4949,1,9565,1428,34,-49.34597256791823,-71.14568599717114
1216,北海道 芦別市,1,16005,3597,NA,5762,779,9,-63.99875039050297,-78.34306366416457
1217,北海道 江別市,1,43301,14391,39,57523,11482,849,32.844507055264316,-20.21402265304705
1218,北海道 赤平市,1,12451,2938,NA,4388,597,72,-64.75785077503815,-79.68005445881552
1219,北海道 紋別市,1,16621,5027,NA,9901,1814,23,-40.43078033812647,-63.91485975731052
1220,北海道 士別市,1,15518,3943,NA,8416,1292,27,-45.76620698543626,-67.23307126553387
1221,北海道 名寄市,1,20982,6204,NA,13322,3011,186,-36.507482604136875,-51.46679561573178
1222,北海道 三笠市,1,11280,2486,NA,3631,544,NA,-67.81028368794327,-78.11745776347546
1223,北海道 根室市,1,21044,6363,NA,11762,2275,163,-44.10758410948489,-64.24642464246423
1224,北海道 千歳市,1,35544,14232,27,49790,13216,115,40.07990096781453,-7.138842046093307
1225,北海道 滝川市,1,25075,7723,8,18832,3423,344,-24.897308075772685,-55.67784539686651
1226,北海道 砂川市,1,12382,3434,NA,7607,1234,300,-38.56404458084316,-64.065230052417
1227,北海道 歌志内市,1,4863,993,NA,1399,162,2,-71.2317499485914,-83.68580060422961
1228,北海道 深川市,1,16917,4158,NA,9362,1436,46,-44.659218537565756,-65.46416546416548
1229,北海道 富良野市,1,13780,3617,NA,9947,1713,103,-27.815674891146593,-52.64030964888029
1230,北海道 登別市,1,27929,8121,20,22146,3888,78,-20.70607612159404,-52.124122644994465
1231,北海道 恵庭市,1,22072,7604,NA,34088,7257,365,54.440014498006526,-4.5633876906891135
1233,北海道 伊達市,1,17407,4778,NA,15176,2389,26,-12.816682943643364,-50
1234,北海道 北広島市,1,16944,5330,19,27763,4547,153,63.85151085930123,-14.690431519699809
1235,北海道 石狩市,1,20035,6278,NA,27324,4581,NA,36.3813326678313,-27.030901561006694
1236,北海道 北斗市,1,18970,5498,NA,20542,3605,9,8.286768581971526,-34.43070207348127
1303,北海道 石狩振興局 当別町,1,8725,2739,NA,7703,1383,123,-11.713467048710601,-49.507119386637456
1304,北海道 石狩振興局 新篠津村,1,2048,541,NA,1484,231,5,-27.5390625,-57.30129390018484
1331,北海道 渡島総合振興局 松前町,1,8758,2352,NA,2805,324,3,-67.97213975793561,-86.22448979591837
1332,北海道 渡島総合振興局 福島町,1,5866,1651,NA,1755,223,3,-70.0818274803955,-86.49303452453059
1333,北海道 渡島総合振興局 知内町,1,3684,1128,NA,2060,393,1,-44.08251900108577,-65.15957446808511
1334,北海道 渡島総合振興局 木古内町,1,4530,1153,NA,1750,227,13,-61.36865342163355,-80.3122289679098
1337,北海道 渡島総合振興局 七飯町,1,9961,2716,NA,12679,2061,6,27.286417026402976,-24.11634756995582
1343,北海道 渡島総合振興局 鹿部町,1,2532,678,NA,1779,278,NA,-29.739336492891,-58.99705014749262
1345,北海道 渡島総合振興局 森町,1,11149,2985,NA,6658,1054,28,-40.28163960893354,-64.69011725293132
1346,北海道 渡島総合振興局 八雲町,1,12941,3716,NA,7894,1469,152,-39.00007727378101,-60.468245425188385
1347,北海道 渡島総合振興局 長万部町,1,5288,1281,NA,2448,417,57,-53.70650529500756,-67.44730679156909
1361,北海道 檜山振興局 江差町,1,6617,1855,NA,3569,654,32,-46.063170621127405,-64.74393530997304
1362,北海道 檜山振興局 上ノ国町,1,4239,966,NA,1965,234,3,-53.64472753007785,-75.77639751552795
1363,北海道 檜山振興局 厚沢部町,1,3338,788,NA,1717,210,NA,-48.56201318154584,-73.3502538071066
1364,北海道 檜山振興局 乙部町,1,3361,816,NA,1538,193,NA,-54.239809580482,-76.34803921568627
1367,北海道 檜山振興局 奥尻町,1,2757,796,NA,1280,309,NA,-53.572723975335514,-61.18090452261307
1370,北海道 檜山振興局 今金町,1,4552,1191,NA,2446,367,NA,-46.26537785588752,-69.1855583543241
1371,北海道 檜山振興局 せたな町,1,7724,1851,NA,3466,476,3,-55.126877265665456,-74.28417071853053
1391,北海道 後志総合振興局 島牧村,1,1532,299,NA,687,138,NA,-55.15665796344648,-53.84615384615385
1392,北海道 後志総合振興局 寿都町,1,2860,662,NA,1397,251,1,-51.153846153846146,-62.08459214501511
1393,北海道 後志総合振興局 黒松内町,1,2160,469,NA,1353,229,NA,-37.361111111111114,-51.1727078891258
1394,北海道 後志総合振興局 蘭越町,1,3893,894,NA,2197,350,2,-43.565373747752375,-60.85011185682326
1395,北海道 後志総合振興局 ニセコ町,1,2201,497,NA,2624,487,206,19.218537028623352,-2.012072434607648
1396,北海道 後志総合振興局 真狩村,1,1562,407,NA,1035,183,NA,-33.73879641485276,-55.03685503685504
1397,北海道 後志総合振興局 留寿都村,1,1020,254,NA,971,244,NA,-4.803921568627456,-3.937007874015752
1398,北海道 後志総合振興局 喜茂別町,1,1946,459,NA,1112,177,94,-42.85714285714286,-61.43790849673203
1399,北海道 後志総合振興局 京極町,1,2095,522,NA,1420,210,46,-32.21957040572793,-59.77011494252873
1400,北海道 後志総合振興局 倶知安町,1,9452,3053,NA,7787,1889,182,-17.615319509098605,-38.12643301670489
1401,北海道 後志総合振興局 共和町,1,3867,898,NA,3047,668,23,-21.205068528575122,-25.612472160356347
1402,北海道 後志総合振興局 岩内町,1,10478,2591,NA,5500,954,20,-47.50906661576637,-63.18023928984948
1403,北海道 後志総合振興局 泊村,1,1278,248,NA,784,141,NA,-38.65414710485133,-43.14516129032258
1404,北海道 後志総合振興局 神恵内村,1,1027,261,NA,400,52,NA,-61.051606621226874,-80.07662835249042
1405,北海道 後志総合振興局 積丹町,1,2309,466,NA,855,98,1,-62.97098310957124,-78.96995708154506
1406,北海道 後志総合振興局 古平町,1,2780,602,NA,1307,156,45,-52.98561151079137,-74.08637873754154
1407,北海道 後志総合振興局 仁木町,1,2695,645,NA,1526,228,NA,-43.37662337662338,-64.65116279069767
1408,北海道 後志総合振興局 余市町,1,12746,3335,NA,8342,1321,32,-34.552016318845126,-60.38980509745128
1409,北海道 後志総合振興局 赤井川村,1,732,156,NA,606,137,NA,-17.213114754098356,-12.17948717948718
1423,北海道 空知総合振興局 南幌町,1,2660,721,NA,3461,528,6,30.112781954887225,-26.768377253814148
1424,北海道 空知総合振興局 奈井江町,1,4129,1100,NA,2405,346,2,-41.75345119883749,-68.54545454545455
1425,北海道 空知総合振興局 上砂川町,1,5294,1106,NA,1292,168,NA,-75.59501322251604,-84.81012658227847
1427,北海道 空知総合振興局 由仁町,1,4316,1042,NA,2302,327,30,-46.66357738646896,-68.61804222648753
