id_muni2020,name_muni2020,cl_code_gender,pop_total_1980,pop_age20_39_1980,pop_ageunknown_1980,pop_total_2020,pop_age20_39_2020,pop_ageunknown_2020,ratio_pop_total,ratio_pop_age20_39
1100,北海道 札幌市,0,1401757,525878,NA,1973395,423277,31063,40.780106680401815,-19.510418766329828
1202,北海道 函館市,0,345165,107212,NA,251084,41638,3314,-27.256819202410444,-61.162929522814615
1203,北海道 小樽市,0,180728,51968,NA,111299,15608,1061,-38.41629409942012,-69.9661330049261
1204,北海道 旭川市,0,352619,118332,35,329306,56258,4144,-6.611385092692112,-52.457492478788495
1205,北海道 室蘭市,0,150199,47302,4,82383,15058,886,-45.15076664957822,-68.16625089848209
1206,北海道 釧路市,0,227234,76076,NA,165077,28412,1493,-27.353741077479597,-62.65313633734686
1207,北海道 帯広市,0,153861,53332,NA,166536,33745,1659,8.237955037338907,-36.72654316357908
1208,北海道 北見市,0,128229,41932,NA,115480,19940,1408,-9.942368730942297,-52.44681865878089
1209,北海道 夕張市,0,41715,9085,NA,7334,753,2,-82.41879419872947,-91.7116125481563
1210,北海道 岩見沢市,0,93340,28329,NA,79306,12651,176,-15.035354617527318,-55.342581806629255
1211,北海道 網走市,0,44777,14304,NA,35759,6886,364,-20.139803917189624,-51.8596196868009
1212,北海道 留萌市,0,36626,11279,NA,20114,3072,997,-45.08272811663845,-72.76354286727546
1213,北海道 苫小牧市,0,151967,54441,10,170113,32409,2818,11.940750294471837,-40.469499090758795
1214,北海道 稚内市,0,53471,16928,NA,33563,5902,134,-37.23139645789306,-65.13468809073724
1215,北海道 美唄市,0,38552,10283,2,20413,2642,63,-47.05073666735837,-74.30710882038316
1216,北海道 芦別市,0,32946,7815,NA,12555,1467,10,-61.89218721544345,-81.22840690978886
1217,北海道 江別市,0,86349,28680,48,121056,22714,1318,40.19386443386721,-20.80195258019526
1218,北海道 赤平市,0,25467,6205,NA,9698,1118,146,-61.91934660541092,-81.9822723609992
1219,北海道 紋別市,0,33860,10350,NA,21215,3694,32,-37.344949793266395,-64.30917874396135
1220,北海道 士別市,0,32103,8538,NA,17858,2357,53,-44.372800049839576,-72.39400327945656
1221,北海道 名寄市,0,42222,12556,NA,27282,5584,285,-35.38439675998295,-55.52723797387703
1222,北海道 三笠市,0,23319,5293,NA,8040,1031,NA,-65.52167760195549,-80.52144341583222
1223,北海道 根室市,0,42880,13095,NA,24636,4298,222,-42.546641791044784,-67.1783123329515
1224,北海道 千歳市,0,66788,25578,40,97950,24322,182,46.65808229023178,-4.9104699351004815
1225,北海道 滝川市,0,51192,16119,11,39490,6637,513,-22.85904047507423,-58.824989143247095
1226,北海道 砂川市,0,25355,7222,NA,16486,2437,556,-34.97929402484717,-66.25588479645528
1227,北海道 歌志内市,0,10178,2127,NA,2989,297,3,-70.63273727647868,-86.03667136812412
1228,北海道 深川市,0,35376,9255,NA,20039,2699,59,-43.35425146992311,-70.8373851971907
1229,北海道 富良野市,0,28499,7874,NA,21131,3521,153,-25.853538720656864,-55.28321056642114
1230,北海道 登別市,0,56503,16858,28,46391,7394,159,-17.896394881687694,-56.13951832957647
1231,北海道 恵庭市,0,42911,14559,NA,70331,14260,544,63.89969937778193,-2.0537124802527673
1233,北海道 伊達市,0,36309,10305,NA,32826,4814,38,-9.592662976121623,-53.28481319747696
1234,北海道 北広島市,0,34148,11289,34,58171,9104,256,70.3496544453555,-19.355124457436446
1235,北海道 石狩市,0,40783,13115,NA,56869,9149,1,39.442905132040316,-30.24018299656881
1236,北海道 北斗市,0,39096,11517,NA,44302,7525,92,13.315940249641912,-34.66180428931145
1303,北海道 石狩振興局 当別町,0,17316,5389,NA,15916,2682,202,-8.085008085008083,-50.2319539803303
1304,北海道 石狩振興局 新篠津村,0,4144,1113,NA,3044,446,11,-26.54440154440154,-59.928122192273136
1331,北海道 渡島総合振興局 松前町,0,17524,4627,NA,6260,641,6,-64.27756220041087,-86.14653122973849
1332,北海道 渡島総合振興局 福島町,0,11613,3192,NA,3794,429,4,-67.32971669680529,-86.56015037593986
1333,北海道 渡島総合振興局 知内町,0,7363,2105,NA,4167,683,1,-43.40622029064241,-67.55344418052256
1334,北海道 渡島総合振興局 木古内町,0,9514,2474,NA,3832,431,14,-59.7225141896153,-82.57881972514147
1337,北海道 渡島総合振興局 七飯町,0,21267,5886,NA,27686,4321,9,30.182912493534573,-26.58851512062521
1343,北海道 渡島総合振興局 鹿部町,0,5011,1373,NA,3760,584,NA,-24.965076830971867,-57.46540422432629
1345,北海道 渡島総合振興局 森町,0,23467,6328,NA,14338,2162,39,-38.90143605914689,-65.83438685208597
1346,北海道 渡島総合振興局 八雲町,0,26359,7454,NA,15826,2644,197,-39.95978603133654,-64.52911188623558
